posteam,plays,pass_rate,accuracy,mean_confidence,mean_surprise,avg_epa,predictability
NO,845,0.5715976331360947,0.7905325443786982,0.7729829406428671,0.31152667481845137,0.010678869287060726,78.17577425107827
HOU,803,0.5915317559153176,0.7459526774595268,0.7536168409538292,0.34096491523619465,-0.035917663695540405,74.97847592066779
WAS,800,0.67125,0.75625,0.7416630073170803,0.3546757737952207,-0.11504403995937006,74.89565036585401
LV,767,0.5880052151238592,0.7561929595827901,0.7382165453867032,0.341433521286402,-0.09525283838493825,74.72047524847467
PIT,780,0.5102564102564102,0.7589743589743589,0.7336664969010186,0.3496732636042907,-0.024292043110249746,74.63204279376887
LA,800,0.55,0.745,0.7471140845282268,0.34992421105122234,0.018999181613994682,74.60570422641133
SEA,751,0.6311584553928096,0.7563249001331558,0.7333591709216715,0.34507768635238495,-0.004594028184395779,74.48420355274136
NYJ,832,0.6358173076923077,0.7439903846153846,0.7405551856849206,0.34208266288768324,-0.2586534641251086,74.22727851501526
SF,753,0.5338645418326693,0.7397078353253652,0.7395464487758352,0.3507957810083182,0.15420499526236048,73.96271420506002
DEN,771,0.5447470817120622,0.7392996108949417,0.7273366457848695,0.3650249550598966,-0.09015109911237197,73.33181283399055
MIN,822,0.6180048661800487,0.7335766423357665,0.7282319762655772,0.3603448618794952,-0.04084402839698996,73.09043093006719
MIA,783,0.5772669220945083,0.7369093231162197,0.7232191787831401,0.3580691302625801,0.03219278479792,73.006425094968
LAC,832,0.6237980769230769,0.7379807692307693,0.7207542906483535,0.3620129004487647,-0.1336399589457826,72.93675299395615
TEN,755,0.5682119205298013,0.7231788079470198,0.7229740165261626,0.36647719345436336,-0.036631396893520025,72.30764122365912
NE,742,0.5943396226415094,0.7035040431266847,0.7388731655034834,0.3639763026735945,-0.1945391704122353,72.11886043150841
TB,786,0.6081424936386769,0.727735368956743,0.7125906533382407,0.36755753511472716,-0.02405564705421032,72.01630111474918
JAX,834,0.6079136690647482,0.7266187050359713,0.7137021078727876,0.3657067173601042,-0.04483452244433231,72.01604064543794
CAR,820,0.5792682926829268,0.7219512195121951,0.7178268507875054,0.36975324658435704,-0.18732738643722252,71.98890351498503
CLE,888,0.5754504504504504,0.7094594594594594,0.7296813801999693,0.37454544627013575,-0.12152146189966444,71.95704198297143
DAL,825,0.616969696969697,0.72,0.7136854737216847,0.38404598460623496,0.11661145518460103,71.68427368608423
DET,849,0.5865724381625441,0.7008244994110718,0.7274281703673696,0.380031818915433,0.07372857296907122,71.41263348892207
CIN,802,0.6296758104738155,0.7069825436408977,0.7156970859807438,0.37922906386783417,0.03423297229217847,71.13398148108207
IND,816,0.5674019607843137,0.7218137254901961,0.6999222789931122,0.3816987926934491,-0.015931274459164202,71.08680022416542
KC,794,0.6435768261964736,0.7027707808564232,0.7173298984402299,0.3715474065524679,-0.005975376214645445,71.00503396483265
BUF,837,0.5471923536439666,0.7108721624850657,0.7017916475948419,0.3774082110533897,0.0756975350665014,70.63319050399538
ARI,823,0.5674362089914945,0.6865127582017011,0.7191013209062336,0.3853952245553273,-0.10113217510196452,70.28070395539675
ATL,833,0.517406962785114,0.6782713085234093,0.6990554046916961,0.39300731657059085,-0.08660315891647247,68.86633566075527
NYG,793,0.5548549810844893,0.682219419924338,0.6940118373780025,0.39762301061215655,-0.15367974833062736,68.81156286511703
BAL,808,0.5173267326732673,0.6893564356435643,0.6777056775073474,0.3995976721047182,0.07889142428689326,68.35310565754558
CHI,843,0.501779359430605,0.6725978647686833,0.6849296273640872,0.4015544301783183,-0.025595516260428924,67.87637460663854
PHI,822,0.5608272506082725,0.6861313868613139,0.66870924005898,0.4079690484932201,0.04829080606476292,67.7420313460147
GB,810,0.5790123456790124,0.6703703703703704,0.6844680698467142,0.3937701001646276,0.0856401461858042,67.74192201085422
